,X,system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Standardized_linkage_strength,direction,biomasss,abundances,trait.effect.abundance.total,abundance.effect.trait.total,Warming_rate,temp_mean
13,13,WS,Dinophy.indet.1,Dinophy.indet,0.784829563,0.302221564,0.99999994,0.008534908,FALSE,0.821170052,trait affects abundance,0.000600534,7279.156877,0.80952381,0.761904762,0.033718254,10.10015309
14,14,WS,Diplopsalis.gr.1,Diplopsalis.gr,0.868732294,0.026335864,1,0.002666712,TRUE,0.908957788,trait affects abundance,0.002645938,214.2067305,0.80952381,0.761904762,0.033718254,10.10015309
15,15,WS,E..dubium.1,E..dubium,0.750153867,0.133544469,1,0.002666712,FALSE,0.784888744,trait affects abundance,0.00019149,2577.76155,0.80952381,0.761904762,0.033718254,10.10015309
16,16,WS,E..tripartita.1,E..tripartita,0.549587807,0.207278712,1,0.002666712,FALSE,0.575035739,trait affects abundance,0.000823513,201.5531655,0.80952381,0.761904762,0.033718254,10.10015309
17,17,WS,G..delicatula.1,G..delicatula,0.742580768,0.070097126,0.99999994,0.008534908,FALSE,0.776964983,trait affects abundance,0.000713202,6556.882658,0.80952381,0.761904762,0.033718254,10.10015309
18,18,WS,G..striata.1,G..striata,0.938721024,0.051090284,1,0.002666712,FALSE,0.982187252,trait affects abundance,0.00224566,848.8924999,0.80952381,0.761904762,0.033718254,10.10015309
19,19,WS,L..danicus.1,L..danicus,0.830952398,0.057743691,0.90476191,0.006863832,FALSE,0.869428543,trait affects abundance,0.000132376,6908.953257,0.80952381,0.761904762,0.033718254,10.10015309
20,20,WS,L..minimus.1,L..minimus,0.773113858,0.159288201,1,0.002666712,FALSE,0.808911867,trait affects abundance,3.92246866056593e-05,8316.051959,0.80952381,0.761904762,0.033718254,10.10015309
21,21,WS,L..strobila.1,L..strobila,0.8770998,0.140431869,1,0.002666712,FALSE,0.91771274,trait affects abundance,0.010419839,27.3540172,0.80952381,0.761904762,0.033718254,10.10015309
22,22,WS,L..undulatum.1,L..undulatum,0.869676331,0.075745833,1,0.002666712,FALSE,0.909945536,trait affects abundance,0.00226593,128.1927685,0.80952381,0.761904762,0.033718254,10.10015309
23,23,WS,M..rubra.1,M..rubra,0.871054342,0.019814129,0.99999994,0.008534908,TRUE,0.911387355,trait affects abundance,0.001540658,110.1378704,0.80952381,0.761904762,0.033718254,10.10015309
24,24,WS,Navicula.sp..1,Navicula.sp.,0.808963602,0.290396332,1,0.002666712,FALSE,0.846421585,trait affects abundance,0.000134206,527.5963767,0.80952381,0.761904762,0.033718254,10.10015309
25,25,WS,O..aurita.1,O..aurita,0.338721521,0.162624876,0.90476191,0.006863832,FALSE,0.35440557,trait affects abundance,0.000732169,8321.881585,0.80952381,0.761904762,0.033718254,10.10015309
26,26,WS,O..aurita.var..minima.1,O..aurita.var..minima,0.607564485,0.039999552,0.99999994,0.008534908,TRUE,0.635696951,trait affects abundance,0.000214126,2339.369459,0.80952381,0.761904762,0.033718254,10.10015309
27,27,WS,O..mobiliensis.1,O..mobiliensis,0.877026303,0.026918184,0.99999994,0.008534908,TRUE,0.91763584,trait affects abundance,0.003442037,43.56854696,0.80952381,0.761904762,0.033718254,10.10015309
28,28,WS,O..regia.1,O..regia,0.727553236,0.196397326,1,0.002666712,FALSE,0.761241621,trait affects abundance,0.007345017,65.27792989,0.80952381,0.761904762,0.033718254,10.10015309
29,29,WS,O..rhombus.1,O..rhombus,0.868106814,0.111251547,1,0.002666712,FALSE,0.908303345,trait affects abundance,0.003370406,323.5217539,0.80952381,0.761904762,0.033718254,10.10015309
30,30,WS,O..rhombus.f.trigona.1,O..rhombus.f.trigona,0.861473345,0.112088606,1,0.002666712,FALSE,0.901362722,trait affects abundance,0.00303628,183.5257942,0.80952381,0.761904762,0.033718254,10.10015309
31,31,WS,P..micans.1,P..micans,0.885841306,0.058470946,0.99999994,0.008534908,FALSE,0.926859009,trait affects abundance,0.001279529,23.9137037,0.80952381,0.761904762,0.033718254,10.10015309
32,32,WS,P..sulcata.1,P..sulcata,0.784617608,0.208162615,1,0.002666712,FALSE,0.820948283,trait affects abundance,0.000443558,202.5132278,0.80952381,0.761904762,0.033718254,10.10015309
33,33,WS,P..vanheurckii.1,P..vanheurckii,0.87381539,0.006292193,1,0.002666712,TRUE,0.91427625,trait affects abundance,0.000194902,563.3480824,0.80952381,0.761904762,0.033718254,10.10015309
34,34,WS,Pleurosigma.sp..1,Pleurosigma.sp.,0.878525504,0.157131438,1,0.002666712,FALSE,0.919204459,trait affects abundance,0.000958019,64.71207011,0.80952381,0.761904762,0.033718254,10.10015309
35,35,WS,Protoperidinium.sp..1,Protoperidinium.sp.,0.860875539,0.211954712,0.90476191,0.006863832,FALSE,0.900737236,trait affects abundance,0.003564276,126.4383003,0.80952381,0.761904762,0.033718254,10.10015309
36,36,WS,Prymnesiophyceae.indet.1,Prymnesiophyceae.indet,0.335263618,0.248876204,0.866666615,0.024170518,FALSE,0.350787554,trait affects abundance,8.5911193939165e-05,1934.94458,0.80952381,0.761904762,0.033718254,10.10015309
37,37,WS,Pseudo.nitzschia.sp..1,Pseudo.nitzschia.sp.,0.675702082,0.002267041,1,0.002666712,TRUE,0.706989568,trait affects abundance,9.66433373983986e-05,39898.8168,0.80952381,0.761904762,0.033718254,10.10015309
38,38,WS,R..imbricata.1,R..imbricata,0.369710911,0.152572436,0.99999994,0.008534908,FALSE,0.386829883,trait affects abundance,0.001660201,3530.646245,0.80952381,0.761904762,0.033718254,10.10015309
39,39,WS,R..setigera.1,R..setigera,0.7470042,0.090105782,1,0.002666712,FALSE,0.781593236,trait affects abundance,0.001617503,815.0639513,0.80952381,0.761904762,0.033718254,10.10015309
40,40,WS,S..fragilarioides.1,S..fragilarioides,0.701142016,0.116135196,1,0.002666712,FALSE,0.733607465,trait affects abundance,0.000195751,1286.969744,0.80952381,0.761904762,0.033718254,10.10015309
41,41,WS,Thalassiosira.sp..1,Thalassiosira.sp.,0.563927663,0.085304144,0.99999994,0.008534908,FALSE,0.590039583,trait affects abundance,0.000323591,36021.53788,0.80952381,0.761904762,0.033718254,10.10015309
42,42,WS,Tintinidae.indet.1,Tintinidae.indet,0.807008443,0.078888721,0.99999994,0.008534908,FALSE,0.844375895,trait affects abundance,0.001176215,500.8160194,0.80952381,0.761904762,0.033718254,10.10015309
43,43,WS,A..senarius,A..senarius.1,0.796614913,0.390302092,0.428571433,0.229556203,FALSE,0.833501107,abundance affects trait,0.001260701,1654.47137,0.80952381,0.761904762,0.033718254,10.10015309
44,44,WS,Amoeba.indet,Amoeba.indet.1,0.667161065,0.206167858,1,0.002666712,FALSE,0.698053071,abundance affects trait,0.000688593,58.49326389,0.80952381,0.761904762,0.033718254,10.10015309
45,45,WS,B..brockmannii,B..brockmannii.1,0.76489478,0.238147018,0.714285731,0.035498142,FALSE,0.800312215,abundance affects trait,5.50840739081827e-05,100486.03,0.80952381,0.761904762,0.033718254,10.10015309
46,46,WS,Bacillariophyceae.indet,Bacillariophyceae.indet.1,0.461044603,0.256031257,1,0.002666712,FALSE,0.48239266,abundance affects trait,0.000119779,14095.23556,0.80952381,0.761904762,0.033718254,10.10015309
47,47,WS,C..closterium,C..closterium.1,0.872953348,0.104272638,1,0.002666712,FALSE,0.913374291,abundance affects trait,4.23800250614331e-05,7530.663436,0.80952381,0.761904762,0.033718254,10.10015309
48,48,WS,C..danicus,C..danicus.1,0.776027496,0.058798804,1,0.002666712,FALSE,0.811960417,abundance affects trait,0.000141994,90.73333677,0.80952381,0.761904762,0.033718254,10.10015309
49,49,WS,C..debilis,C..debilis.1,0.955745477,0.01496913,1,0.002666712,TRUE,1,abundance affects trait,0.000121409,2724.134741,0.80952381,0.761904762,0.033718254,10.10015309
50,50,WS,C..densus,C..densus.1,0.542901472,0.037519978,1,0.002666712,FALSE,0.568039803,abundance affects trait,0.000858682,201.0510405,0.80952381,0.761904762,0.033718254,10.10015309
51,51,WS,Chaetoceros.sp.,Chaetoceros.sp..1,0.713584635,0.060798939,0.99999994,0.008534908,FALSE,0.746626222,abundance affects trait,9.16773406680554e-05,31193.53152,0.80952381,0.761904762,0.033718254,10.10015309
52,52,WS,Ciliates.indet,Ciliates.indet.1,0.821788544,0.115743944,0.99999994,0.008534908,FALSE,0.85984037,abundance affects trait,0.000774601,4008.717677,0.80952381,0.761904762,0.033718254,10.10015309
53,53,WS,D..brightwellii,D..brightwellii.1,0.929649075,0.001590516,1,0.002666712,TRUE,0.972695239,abundance affects trait,0.001387813,94.49536045,0.80952381,0.761904762,0.033718254,10.10015309
54,54,WS,D..surirella,D..surirella.1,0.865387342,0.07829749,1,0.002666712,FALSE,0.905457951,abundance affects trait,0.000198886,466.7492804,0.80952381,0.761904762,0.033718254,10.10015309
55,55,WS,Dinophy.indet,Dinophy.indet.1,0.895200556,0.100695927,0.99999994,0.008534908,FALSE,0.936651627,abundance affects trait,0.000600534,7279.156877,0.80952381,0.761904762,0.033718254,10.10015309
56,56,WS,Diplopsalis.gr,Diplopsalis.gr.1,0.753314456,0.120789406,0.99999994,0.008534908,FALSE,0.78819568,abundance affects trait,0.002645938,214.2067305,0.80952381,0.761904762,0.033718254,10.10015309
57,57,WS,E..dubium,E..dubium.1,0.746577819,0.158648813,0.99999994,0.008534908,FALSE,0.781147111,abundance affects trait,0.00019149,2577.76155,0.80952381,0.761904762,0.033718254,10.10015309
58,58,WS,E..tripartita,E..tripartita.1,0.529249563,0.13079671,1,0.002666712,FALSE,0.55375576,abundance affects trait,0.000823513,201.5531655,0.80952381,0.761904762,0.033718254,10.10015309
59,59,WS,G..delicatula,G..delicatula.1,0.781320481,0.021825532,0.99999994,0.008534908,TRUE,0.817498486,abundance affects trait,0.000713202,6556.882658,0.80952381,0.761904762,0.033718254,10.10015309
60,60,WS,G..striata,G..striata.1,0.932538265,0.062897539,1,0.002666712,FALSE,0.975718209,abundance affects trait,0.00224566,848.8924999,0.80952381,0.761904762,0.033718254,10.10015309
61,61,WS,L..danicus,L..danicus.1,0.766159765,0.041585112,0.99999994,0.008534908,TRUE,0.801635774,abundance affects trait,0.000132376,6908.953257,0.80952381,0.761904762,0.033718254,10.10015309
62,62,WS,L..minimus,L..minimus.1,0.647799687,0.423723163,0.238095239,0.548005581,FALSE,0.67779519,abundance affects trait,3.92246866056593e-05,8316.051959,0.80952381,0.761904762,0.033718254,10.10015309
63,63,WS,L..strobila,L..strobila.1,0.902971735,0.109698305,1,0.002666712,FALSE,0.944782641,abundance affects trait,0.010419839,27.3540172,0.80952381,0.761904762,0.033718254,10.10015309
64,64,WS,L..undulatum,L..undulatum.1,0.906208169,0.003220292,0.99999994,0.008534908,TRUE,0.948168932,abundance affects trait,0.00226593,128.1927685,0.80952381,0.761904762,0.033718254,10.10015309
65,65,WS,M..rubra,M..rubra.1,0.784280408,0.05205494,0.99999994,0.008534908,FALSE,0.820595469,abundance affects trait,0.001540658,110.1378704,0.80952381,0.761904762,0.033718254,10.10015309
66,66,WS,Navicula.sp.,Navicula.sp..1,0.826509644,0.100992582,1,0.002666712,FALSE,0.864780073,abundance affects trait,0.000134206,527.5963767,0.80952381,0.761904762,0.033718254,10.10015309
67,67,WS,O..aurita,O..aurita.1,0.105945836,0.323689334,0.714285731,0.035498142,FALSE,0.110851517,abundance affects trait,0.000732169,8321.881585,0.80952381,0.761904762,0.033718254,10.10015309
68,68,WS,O..aurita.var..minima,O..aurita.var..minima.1,0.591580922,0.091142068,1,0.002666712,FALSE,0.618973289,abundance affects trait,0.000214126,2339.369459,0.80952381,0.761904762,0.033718254,10.10015309
69,69,WS,O..mobiliensis,O..mobiliensis.1,0.83528319,0.180811136,0.90476191,0.006863832,FALSE,0.873959867,abundance affects trait,0.003442037,43.56854696,0.80952381,0.761904762,0.033718254,10.10015309
70,70,WS,O..regia,O..regia.1,0.709882187,0.132166476,1,0.002666712,FALSE,0.742752338,abundance affects trait,0.007345017,65.27792989,0.80952381,0.761904762,0.033718254,10.10015309
71,71,WS,O..rhombus,O..rhombus.1,0.849925812,0.032543766,0.99999994,0.008534908,TRUE,0.889280497,abundance affects trait,0.003370406,323.5217539,0.80952381,0.761904762,0.033718254,10.10015309
72,72,WS,O..rhombus.f.trigona,O..rhombus.f.trigona.1,0.898769615,0.043405592,1,0.002666712,TRUE,0.940385946,abundance affects trait,0.00303628,183.5257942,0.80952381,0.761904762,0.033718254,10.10015309
73,73,WS,P..micans,P..micans.1,0.883730529,0.023068281,1,0.002666712,TRUE,0.924650496,abundance affects trait,0.001279529,23.9137037,0.80952381,0.761904762,0.033718254,10.10015309
74,74,WS,P..sulcata,P..sulcata.1,0.784333702,0.010611393,0.99999994,0.008534908,TRUE,0.820651231,abundance affects trait,0.000443558,202.5132278,0.80952381,0.761904762,0.033718254,10.10015309
75,75,WS,P..vanheurckii,P..vanheurckii.1,0.785483146,0.113315616,1,0.002666712,FALSE,0.821853898,abundance affects trait,0.000194902,563.3480824,0.80952381,0.761904762,0.033718254,10.10015309
76,76,WS,Pleurosigma.sp.,Pleurosigma.sp..1,0.916487097,0.056300229,1,0.002666712,FALSE,0.958923813,abundance affects trait,0.000958019,64.71207011,0.80952381,0.761904762,0.033718254,10.10015309
77,77,WS,Protoperidinium.sp.,Protoperidinium.sp..1,0.852837808,0.136299408,1,0.002666712,FALSE,0.892327328,abundance affects trait,0.003564276,126.4383003,0.80952381,0.761904762,0.033718254,10.10015309
78,78,WS,Prymnesiophyceae.indet,Prymnesiophyceae.indet.1,0.615257479,0.041029672,0.99999994,0.008534908,FALSE,0.643746158,abundance affects trait,8.5911193939165e-05,1934.94458,0.80952381,0.761904762,0.033718254,10.10015309
79,79,WS,Pseudo.nitzschia.sp.,Pseudo.nitzschia.sp..1,0.547498629,0.048915905,1,0.002666712,FALSE,0.572849825,abundance affects trait,9.66433373983986e-05,39898.8168,0.80952381,0.761904762,0.033718254,10.10015309
80,80,WS,R..imbricata,R..imbricata.1,0.303911508,0.184431511,0.866666615,0.024170518,FALSE,0.317983727,abundance affects trait,0.001660201,3530.646245,0.80952381,0.761904762,0.033718254,10.10015309
81,81,WS,R..setigera,R..setigera.1,0.589580623,0.169980857,0.866666615,0.024170518,FALSE,0.61688037,abundance affects trait,0.001617503,815.0639513,0.80952381,0.761904762,0.033718254,10.10015309
82,82,WS,S..fragilarioides,S..fragilarioides.1,0.722152106,0.069640113,1,0.002666712,FALSE,0.755590398,abundance affects trait,0.000195751,1286.969744,0.80952381,0.761904762,0.033718254,10.10015309
83,83,WS,Thalassiosira.sp.,Thalassiosira.sp..1,0.305774118,0.106457836,1,0.002666712,FALSE,0.319932582,abundance affects trait,0.000323591,36021.53788,0.80952381,0.761904762,0.033718254,10.10015309
84,84,WS,Tintinidae.indet,Tintinidae.indet.1,0.810705132,0.009032843,0.99999994,0.008534908,TRUE,0.848243755,abundance affects trait,0.001176215,500.8160194,0.80952381,0.761904762,0.033718254,10.10015309
85,1,ME,Chlamydomonas.globosa..1,Chlamydomonas.globosa.,0.941994376,0.03043114,1,0.002666712,TRUE,0.964007957,trait affects abundance,1.55582015561546e-07,37303380.89,0.724137931,0.586206897,0.024158508,10.03227456
86,2,ME,Cryptomonas.erosa..1,Cryptomonas.erosa.,0.687711214,0.140651439,1,0.002666712,FALSE,0.703782421,trait affects abundance,5.77464087136503e-07,68292534.76,0.724137931,0.586206897,0.024158508,10.03227456
87,3,ME,Aphanizomenon.flos.aquae.1,Aphanizomenon.flos.aquae,0.805734658,0.073443174,1,0.002666712,FALSE,0.824563969,trait affects abundance,6.7106547230374e-08,7284281131,0.724137931,0.586206897,0.024158508,10.03227456
88,4,ME,Aphanothece.nidulans..1,Aphanothece.nidulans.,0.875429249,4.6250009779758e-06,1,0.002666712,TRUE,0.895887262,trait affects abundance,1.50394847727908e-09,40789841094,0.724137931,0.586206897,0.024158508,10.03227456
89,5,ME,Oscillatoria.limnetica..1,Oscillatoria.limnetica.,0.715189852,0.213939265,1,0.002666712,FALSE,0.73190321,trait affects abundance,1.16186241135421e-08,1460734070,0.724137931,0.586206897,0.024158508,10.03227456
90,6,ME,Synechocystis...1,Synechocystis..,0.668425533,0.066387793,1,0.002666712,FALSE,0.684046051,trait affects abundance,1.11315737286728e-08,754740450.6,0.724137931,0.586206897,0.024158508,10.03227456
91,7,ME,Miscellaneous.1,Miscellaneous,0.671467857,0.175862725,1,0.002666712,FALSE,0.687159471,trait affects abundance,1.11196884212823e-08,1148285720,0.724137931,0.586206897,0.024158508,10.03227456
92,8,ME,Rhodomonas.minuta.var..nannoplanctica.1,Rhodomonas.minuta.var..nannoplanctica,0.409166146,0.286322668,1,0.002666712,FALSE,0.418727999,trait affects abundance,5.83606016322895e-08,615983828.5,0.724137931,0.586206897,0.024158508,10.03227456
93,9,ME,Sphaerocystis.schroeteri..1,Sphaerocystis.schroeteri.,0.974290409,8.69769554046051e-07,1,0.002666712,TRUE,0.997058719,trait affects abundance,1.16490930121612e-07,162535457.7,0.724137931,0.586206897,0.024158508,10.03227456
94,10,ME,Chlorococcaceae.1,Chlorococcaceae,0.623761852,0.170181797,1,0.002666712,FALSE,0.638338618,trait affects abundance,7.83650215719184e-08,54699958.94,0.724137931,0.586206897,0.024158508,10.03227456
95,11,ME,Microcystis.aeruginosa..1,Microcystis.aeruginosa.,0.885291541,0.033447354,1,0.002666712,TRUE,0.905980026,trait affects abundance,2.94413881088525e-08,6212153002,0.724137931,0.586206897,0.024158508,10.03227456
96,12,ME,Schroederia.judayi..1,Schroederia.judayi.,0.75155824,0.061127261,1,0.002666712,FALSE,0.769121495,trait affects abundance,2.74274832064619e-08,102605612.3,0.724137931,0.586206897,0.024158508,10.03227456
97,13,ME,Anabaena.flos.aquae..1,Anabaena.flos.aquae.,0.950789346,0.000669714,1,0.002666712,TRUE,0.973008458,trait affects abundance,6.91014086946446e-08,532847202.6,0.724137931,0.586206897,0.024158508,10.03227456
98,14,ME,Aphanocapsa.delicatissima..1,Aphanocapsa.delicatissima.,0.419480354,0.074574171,1,0.002666712,FALSE,0.429283241,trait affects abundance,3.76967540307796e-10,25443520555,0.724137931,0.586206897,0.024158508,10.03227456
99,15,ME,Coelosphaerium.naegelianum..1,Coelosphaerium.naegelianum.,0.22857759,0.166774384,0.99999994,0.008534908,FALSE,0.233919247,trait affects abundance,1.2768328762672e-08,666311767.5,0.724137931,0.586206897,0.024158508,10.03227456
100,16,ME,Chroococcaceae.1,Chroococcaceae,0.908132861,0.058234157,1,0.002666712,FALSE,0.929355128,trait affects abundance,3.50284026407836e-10,11425817260,0.724137931,0.586206897,0.024158508,10.03227456
101,17,ME,Erkenia.subaequiciliata..1,Erkenia.subaequiciliata.,0.951894143,0.002117955,1,0.002666712,TRUE,0.974139073,trait affects abundance,4.02733383666749e-08,95685688.21,0.724137931,0.586206897,0.024158508,10.03227456
102,18,ME,Synechococcus.sp1..1,Synechococcus.sp1.,0.801815204,0.027791292,0.99999994,0.008534908,TRUE,0.82055292,trait affects abundance,5.36321033701764e-10,6006437497,0.724137931,0.586206897,0.024158508,10.03227456
103,19,ME,DIACYCLOPS.THOMASI.1,DIACYCLOPS.THOMASI,0.236666971,0.146504793,0.966091692,0.012898922,FALSE,0.24219767,trait affects abundance,6.51683080598727e-05,1647.142215,0.724137931,0.586206897,0.024158508,10.03227456
104,20,ME,DIAPTOMID.1,DIAPTOMID,0.267827428,0.31119662,0.466666639,0.25965631,FALSE,0.27408632,trait affects abundance,6.53239726842796e-05,6067.462799,0.724137931,0.586206897,0.024158508,10.03227456
105,21,ME,AGLAODIAPTOMUS.CLAVIPES.1,AGLAODIAPTOMUS.CLAVIPES,0.412799757,0.373004366,0.866666615,0.024170518,FALSE,0.422446525,trait affects abundance,0.000469772,410.8148559,0.724137931,0.586206897,0.024158508,10.03227456
106,22,ME,DAPHNIA.MENDOTAE.1,DAPHNIA.MENDOTAE,0.082465508,0.359320001,0.577350259,0.241566658,FALSE,0.084392654,trait affects abundance,0.000156665,680.2488298,0.724137931,0.586206897,0.024158508,10.03227456
107,23,ME,DAPHNIA.PULICARIA.1,DAPHNIA.PULICARIA,0.138878257,0.39435933,0.333333313,0.452370405,FALSE,0.14212372,trait affects abundance,0.000226309,2182.825696,0.724137931,0.586206897,0.024158508,10.03227456
108,24,ME,CYCLOPOID.1,CYCLOPOID,0.58865511,0.041173042,0.99999994,0.008534908,TRUE,0.602411462,trait affects abundance,1.48301604684184e-05,1308.336598,0.724137931,0.586206897,0.024158508,10.03227456
109,25,ME,DAPHNIA.1,DAPHNIA,0.54097689,0.083923953,0.99999994,0.008534908,FALSE,0.553619044,trait affects abundance,2.55734494307455e-05,413.1648189,0.724137931,0.586206897,0.024158508,10.03227456
110,26,ME,MESOCYCLOPS.EDAX.1,MESOCYCLOPS.EDAX,0,0.5,1,1,FALSE,0,trait affects abundance,7.11898603912471e-05,212.4906997,0.724137931,0.586206897,0.024158508,10.03227456
111,27,ME,CHYDORUS.1,CHYDORUS,0.324806387,0.07091678,0.99999994,0.008534908,FALSE,0.332396827,trait affects abundance,2.0391632235596e-06,214.4333888,0.724137931,0.586206897,0.024158508,10.03227456
112,28,ME,ACANTHOCYCLOPS.1,ACANTHOCYCLOPS,0.522613999,0.150707628,1,0.002666712,FALSE,0.534827029,trait affects abundance,4.67768554419673e-05,122.3786647,0.724137931,0.586206897,0.024158508,10.03227456
113,29,ME,CALANOID.1,CALANOID,0.53506678,0.052149069,1,0.002666712,FALSE,0.547570821,trait affects abundance,1.62412323224537e-05,1201.720313,0.724137931,0.586206897,0.024158508,10.03227456
114,30,ME,Chlamydomonas.globosa.,Chlamydomonas.globosa..1,0.946694182,0.025375569,1,0.002666712,TRUE,0.968817593,abundance affects trait,1.55582015561546e-07,37303380.89,0.724137931,0.586206897,0.024158508,10.03227456
115,31,ME,Cryptomonas.erosa.,Cryptomonas.erosa..1,0.769635983,0.216810872,1,0.002666712,FALSE,0.7876217,abundance affects trait,5.77464087136503e-07,68292534.76,0.724137931,0.586206897,0.024158508,10.03227456
116,32,ME,Aphanizomenon.flos.aquae,Aphanizomenon.flos.aquae.1,0.796956407,0.167495654,1,0.002666712,FALSE,0.815580578,abundance affects trait,6.7106547230374e-08,7284281131,0.724137931,0.586206897,0.024158508,10.03227456
117,33,ME,Aphanothece.nidulans.,Aphanothece.nidulans..1,0.808010836,0.000149627,1,0.002666712,TRUE,0.826893339,abundance affects trait,1.50394847727908e-09,40789841094,0.724137931,0.586206897,0.024158508,10.03227456
118,34,ME,Oscillatoria.limnetica.,Oscillatoria.limnetica..1,0.856275028,0.048398798,1,0.002666712,TRUE,0.876285423,abundance affects trait,1.16186241135421e-08,1460734070,0.724137931,0.586206897,0.024158508,10.03227456
119,35,ME,Synechocystis..,Synechocystis...1,0.609882809,0.039456584,0.99999994,0.008534908,TRUE,0.624135235,abundance affects trait,1.11315737286728e-08,754740450.6,0.724137931,0.586206897,0.024158508,10.03227456
120,36,ME,Miscellaneous,Miscellaneous.1,0.709674974,0.068956667,0.99999994,0.008534908,FALSE,0.726259455,abundance affects trait,1.11196884212823e-08,1148285720,0.724137931,0.586206897,0.024158508,10.03227456
121,37,ME,Rhodomonas.minuta.var..nannoplanctica,Rhodomonas.minuta.var..nannoplanctica.1,0.3627825,0.225192698,0.90476191,0.006863832,FALSE,0.371260408,abundance affects trait,5.83606016322895e-08,615983828.5,0.724137931,0.586206897,0.024158508,10.03227456
122,38,ME,Sphaerocystis.schroeteri.,Sphaerocystis.schroeteri..1,0.880081813,0.00374518,0.99999994,0.008534908,TRUE,0.900648551,abundance affects trait,1.16490930121612e-07,162535457.7,0.724137931,0.586206897,0.024158508,10.03227456
123,39,ME,Chlorococcaceae,Chlorococcaceae.1,0.494653487,0.111492468,0.99999994,0.008534908,FALSE,0.506213105,abundance affects trait,7.83650215719184e-08,54699958.94,0.724137931,0.586206897,0.024158508,10.03227456
124,40,ME,Microcystis.aeruginosa.,Microcystis.aeruginosa..1,0.903826048,0.05847233,1,0.002666712,FALSE,0.924947668,abundance affects trait,2.94413881088525e-08,6212153002,0.724137931,0.586206897,0.024158508,10.03227456
125,41,ME,Schroederia.judayi.,Schroederia.judayi..1,0.699146949,0.112686648,1,0.002666712,FALSE,0.715485399,abundance affects trait,2.74274832064619e-08,102605612.3,0.724137931,0.586206897,0.024158508,10.03227456
126,42,ME,Anabaena.flos.aquae.,Anabaena.flos.aquae..1,0.977164524,0.000113132,1,0.002666712,TRUE,1,abundance affects trait,6.91014086946446e-08,532847202.6,0.724137931,0.586206897,0.024158508,10.03227456
127,43,ME,Aphanocapsa.delicatissima.,Aphanocapsa.delicatissima..1,0.395609581,0.22567982,0.99999994,0.008534908,FALSE,0.404854629,abundance affects trait,3.76967540307796e-10,25443520555,0.724137931,0.586206897,0.024158508,10.03227456
128,44,ME,Coelosphaerium.naegelianum.,Coelosphaerium.naegelianum..1,0.428183227,0.043039097,0.99999994,0.008534908,TRUE,0.438189493,abundance affects trait,1.2768328762672e-08,666311767.5,0.724137931,0.586206897,0.024158508,10.03227456
